STATUS,METHOD,URL,ACCOUNT_IDX,REQ_PARAMS,REQ_BODY,REQ_QUERY,RES_MESSAGE,RESPONSE_TIME,CREATED_AT,LOG
200,GET,/login/oauth/google/redirect?code=4%2F0ATx3LY5zpOaAdIXcJ8zR7WEYaxZ2s2DxEszJkNo8gpM3gopkd0n19V4KurbKgZEewDsbqg&scope=email+profile+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.profile+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.email+openid&authuser=0&prompt=none,,{},{},"{""code"":""4/0ATx3LY5zpOaAdIXcJ8zR7WEYaxZ2s2DxEszJkNo8gpM3gopkd0n19V4KurbKgZEewDsbqg"",""scope"":""email profile https://www.googleapis.com/auth/userinfo.profile https://www.googleapis.com/auth/userinfo.email openid"",""authuser"":""0"",""prompt"":""none""}",,59.25ms,Sat Jun 22 2024 15:10:38 GMT+0900 (대한민국 표준시),
200,GET,/login/oauth/google,,{},{},{},,3.12ms,Sat Jun 22 2024 15:12:06 GMT+0900 (대한민국 표준시),
200,GET,/login/oauth/google,,{},{},{},,48.35ms,Sat Jun 22 2024 15:15:55 GMT+0900 (대한민국 표준시),
200,GET,/login/oauth/google/redirect?code=4%2F0ATx3LY5-17UNYc2oryOCicbZgHJiOnuqJux7qGiyOoo7vvKJda8KqhW1MyWx9aFkdY7zFw&scope=email+profile+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.email+openid+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.profile&authuser=0&prompt=none,,{},{},"{""code"":""4/0ATx3LY5-17UNYc2oryOCicbZgHJiOnuqJux7qGiyOoo7vvKJda8KqhW1MyWx9aFkdY7zFw"",""scope"":""email profile https://www.googleapis.com/auth/userinfo.email openid https://www.googleapis.com/auth/userinfo.profile"",""authuser"":""0"",""prompt"":""none""}",,91.47ms,Sat Jun 22 2024 15:16:03 GMT+0900 (대한민국 표준시),
200,GET,/login/oauth/google,,{},{},{},,5.85ms,Sat Jun 22 2024 15:16:41 GMT+0900 (대한민국 표준시),
200,GET,/login/oauth/google/redirect?code=4%2F0ATx3LY6D12gkk5UdxVh5897QDG3jhHIc1L10zhyMqt2JKM1yk8RbxghrselbC0cwIygCMw&scope=email+profile+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.profile+openid+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.email&authuser=0&prompt=none,,{},{},"{""code"":""4/0ATx3LY6D12gkk5UdxVh5897QDG3jhHIc1L10zhyMqt2JKM1yk8RbxghrselbC0cwIygCMw"",""scope"":""email profile https://www.googleapis.com/auth/userinfo.profile openid https://www.googleapis.com/auth/userinfo.email"",""authuser"":""0"",""prompt"":""none""}",,62.90ms,Sat Jun 22 2024 15:16:51 GMT+0900 (대한민국 표준시),
200,GET,/login/oauth/google,,{},{},{},,3.66ms,Sat Jun 22 2024 15:17:43 GMT+0900 (대한민국 표준시),
200,GET,/login/oauth/google/redirect?code=4%2F0ATx3LY5ryjk0idZtcK36f9fbdoo_fxPzkJ6JvPZ7tj3k-To8EITEhZkX7iym11Pbw-cFFw&scope=email+profile+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.profile+openid+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.email&authuser=0&prompt=none,,{},{},"{""code"":""4/0ATx3LY5ryjk0idZtcK36f9fbdoo_fxPzkJ6JvPZ7tj3k-To8EITEhZkX7iym11Pbw-cFFw"",""scope"":""email profile https://www.googleapis.com/auth/userinfo.profile openid https://www.googleapis.com/auth/userinfo.email"",""authuser"":""0"",""prompt"":""none""}",,66.40ms,Sat Jun 22 2024 15:17:49 GMT+0900 (대한민국 표준시),
200,GET,/login/oauth/google,,{},{},{},,4.74ms,Sat Jun 22 2024 15:18:31 GMT+0900 (대한민국 표준시),
200,GET,/login/oauth/google/redirect?code=4%2F0ATx3LY7W-ROVBlrOH2ceXRlsn08jweRxrOrHdr5YfVcFpAfZJeXqsrs5gNcYguEjNx1SJg&scope=email+profile+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.email+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.profile+openid&authuser=0&prompt=none,,{},{},"{""code"":""4/0ATx3LY7W-ROVBlrOH2ceXRlsn08jweRxrOrHdr5YfVcFpAfZJeXqsrs5gNcYguEjNx1SJg"",""scope"":""email profile https://www.googleapis.com/auth/userinfo.email https://www.googleapis.com/auth/userinfo.profile openid"",""authuser"":""0"",""prompt"":""none""}",,65.12ms,Sat Jun 22 2024 15:18:38 GMT+0900 (대한민국 표준시),
200,GET,/login/oauth/google,,{},{},{},,4.32ms,Sat Jun 22 2024 15:19:51 GMT+0900 (대한민국 표준시),
200,GET,/login/oauth/google/redirect?code=4%2F0ATx3LY702T0kDX98CGxR7iU6-GsM7lHP8fcDEFSLqs6n1e8hLwG-S8QjlJH6scIUBfa5Jg&scope=email+profile+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.email+openid+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.profile&authuser=0&prompt=none,,{},{},"{""code"":""4/0ATx3LY702T0kDX98CGxR7iU6-GsM7lHP8fcDEFSLqs6n1e8hLwG-S8QjlJH6scIUBfa5Jg"",""scope"":""email profile https://www.googleapis.com/auth/userinfo.email openid https://www.googleapis.com/auth/userinfo.profile"",""authuser"":""0"",""prompt"":""none""}",,64.77ms,Sat Jun 22 2024 15:19:58 GMT+0900 (대한민국 표준시),
200,GET,/login/oauth/google,,{},{},{},,4.09ms,Sat Jun 22 2024 15:21:11 GMT+0900 (대한민국 표준시),
200,GET,/login/oauth/google/redirect?code=4%2F0ATx3LY4antHBcyDPHWbWXDThDDCeSrxyvdNRUy2Zh_q4O2OtnjdwxOLH9sovDR4ol4f74A&scope=email+profile+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.email+openid+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.profile&authuser=0&prompt=none,,{},{},"{""code"":""4/0ATx3LY4antHBcyDPHWbWXDThDDCeSrxyvdNRUy2Zh_q4O2OtnjdwxOLH9sovDR4ol4f74A"",""scope"":""email profile https://www.googleapis.com/auth/userinfo.email openid https://www.googleapis.com/auth/userinfo.profile"",""authuser"":""0"",""prompt"":""none""}",,63.44ms,Sat Jun 22 2024 15:21:17 GMT+0900 (대한민국 표준시),
200,GET,/login/oauth/google,,{},{},{},,54.70ms,Sat Jun 22 2024 15:24:23 GMT+0900 (대한민국 표준시),
200,GET,/login/oauth/google/redirect?code=4%2F0ATx3LY6EqA0quS6uhxh0KGjZBbXM12_z4xUZ80Z8HVM--nP1ix9BGHwthKtKeY7fvWDjIQ&scope=email+profile+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.profile+openid+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.email&authuser=0&prompt=none,,{},{},"{""code"":""4/0ATx3LY6EqA0quS6uhxh0KGjZBbXM12_z4xUZ80Z8HVM--nP1ix9BGHwthKtKeY7fvWDjIQ"",""scope"":""email profile https://www.googleapis.com/auth/userinfo.profile openid https://www.googleapis.com/auth/userinfo.email"",""authuser"":""0"",""prompt"":""none""}",,93.30ms,Sat Jun 22 2024 15:24:30 GMT+0900 (대한민국 표준시),
200,GET,/login/oauth/google,,{},{},{},,2.13ms,Sat Jun 22 2024 15:25:34 GMT+0900 (대한민국 표준시),
200,GET,/login/oauth/google/redirect?code=4%2F0ATx3LY4DSkwAczlbQL0tK6l0lXr26GkmZiinEZ4cwZ36Mt59PfhiuB48xXYJQQvmSFOznA&scope=email+profile+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.email+openid+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.profile&authuser=0&prompt=none,,{},{},"{""code"":""4/0ATx3LY4DSkwAczlbQL0tK6l0lXr26GkmZiinEZ4cwZ36Mt59PfhiuB48xXYJQQvmSFOznA"",""scope"":""email profile https://www.googleapis.com/auth/userinfo.email openid https://www.googleapis.com/auth/userinfo.profile"",""authuser"":""0"",""prompt"":""none""}",,56.47ms,Sat Jun 22 2024 15:25:41 GMT+0900 (대한민국 표준시),
200,GET,/,,{},{},{},,3.72ms,Sat Jun 22 2024 15:25:55 GMT+0900 (대한민국 표준시),
200,GET,/login/oauth/google,,{},{},{},,15.30ms,Sat Jun 22 2024 16:16:15 GMT+0900 (대한민국 표준시),
200,GET,/login/oauth/google/redirect?code=4%2F0ATx3LY4PAmngyvn_BXBaxsaW53W1OahIiwM7OlGFNiIiiUCBHTDnHzYx5wFR0gjdFV4Ulg&scope=email+profile+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.profile+openid+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.email&authuser=0&prompt=none,,{},{},"{""code"":""4/0ATx3LY4PAmngyvn_BXBaxsaW53W1OahIiwM7OlGFNiIiiUCBHTDnHzYx5wFR0gjdFV4Ulg"",""scope"":""email profile https://www.googleapis.com/auth/userinfo.profile openid https://www.googleapis.com/auth/userinfo.email"",""authuser"":""0"",""prompt"":""none""}",,110.15ms,Sat Jun 22 2024 16:16:21 GMT+0900 (대한민국 표준시),
200,GET,/login/oauth/google,,{},{},{},,22.44ms,Sat Jun 22 2024 16:17:09 GMT+0900 (대한민국 표준시),
200,GET,/login/oauth/google/redirect?code=4%2F0ATx3LY6tO0Pee-lC20CV9l7UN1-RqIhOPLkikj_KdWqW-lqKdAjz9RjXdap4ckr7h3Ut8w&scope=email+profile+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.email+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.profile+openid&authuser=0&prompt=none,,{},{},"{""code"":""4/0ATx3LY6tO0Pee-lC20CV9l7UN1-RqIhOPLkikj_KdWqW-lqKdAjz9RjXdap4ckr7h3Ut8w"",""scope"":""email profile https://www.googleapis.com/auth/userinfo.email https://www.googleapis.com/auth/userinfo.profile openid"",""authuser"":""0"",""prompt"":""none""}",,113.79ms,Sat Jun 22 2024 16:17:16 GMT+0900 (대한민국 표준시),
200,GET,/,,{},{},{},,38.69ms,Sat Jun 22 2024 16:19:01 GMT+0900 (대한민국 표준시),
200,POST,/,,{},"{""nickname"":""닉네임url"",""profileImg"":""imgurl"",""oauthGoogleId"":""ididididid""}",{},,53.06ms,Sat Jun 22 2024 16:33:58 GMT+0900 (대한민국 표준시),
200,GET,/,,{},{},{},,28.92ms,Sat Jun 22 2024 16:34:12 GMT+0900 (대한민국 표준시),
200,GET,/,,{},{},{},,2.68ms,Sat Jun 22 2024 16:34:32 GMT+0900 (대한민국 표준시),
200,GET,/,,{},{},{},,30.01ms,Sat Jun 22 2024 16:34:47 GMT+0900 (대한민국 표준시),
200,POST,/,,{},"{""nickname"":""닉네임url2222"",""profileImg"":""imgurl"",""oauthGoogleId"":""ididididid2""}",{},,46.23ms,Sat Jun 22 2024 16:48:44 GMT+0900 (대한민국 표준시),
